SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED,GRADS,ACADEMIC,CAREER,NONDUP,EL,BONUS,TRANSITIONRATE,TRANRATEWBONUS
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETP,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETW,N,202,103,76,130,0,17,64.4,66.5
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,FOS,Y,3,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,HOM,Y,5,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,LEN,Y,217,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,LEP,Y,2,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,LUN,N,116,74,48,87,0,9,75,76.9
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,LUP,N,103,32,32,48,0,8,46.6,48.5
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,MIG,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,MIL,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,SXF,N,110,58,49,81,0,14,73.6,76.8
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,SXM,N,109,48,31,54,0,3,49.5,50.2
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,TST,N,219,106,80,135,0,17,61.6,63.6
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETB,Y,7,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETA,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ELN,Y,217,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ELM,Y,2,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,CSG,N,27,4,4,6,0,0,22.2,22.2
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ALT,Y,0,,,,,,,
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ACO,N,208,105,80,134,0,17,64.4,66.5
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETI,Y,0,,,,,,,
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ACD,Y,1,,,,,,,
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,TST,N,14,5,14,14,0,8,100,114.3
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ALT,Y,0,,,,,,,
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,CSG,Y,1,,,,,,,
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ELM,Y,0,,,,,,,
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ELN,N,14,5,14,14,0,8,100,114.3
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ETA,Y,0,,,,,,,
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ETB,Y,0,,,,,,,
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ETH,Y,1,,,,,,,
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ETI,Y,0,,,,,,,
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ETO,Y,0,,,,,,,
