GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US15009,15009,"Maui County, Hawaii",42755,68,22223,63,167,206,422,387,4346,924,1322,786,6553,1069,1622,583,5438,1087,2353,618,20532,16,556,408,543,302,4493,975,222,157,5518,902,1628,594,5934,955,1638,446
0500000US16001,16001,"Ada County, Idaho",248888,439,122575,130,1218,524,4110,1481,23118,2861,5505,1198,29993,2842,10243,1594,30117,2850,18271,2263,126313,389,1031,612,2733,969,20416,2575,6347,2659,41073,3509,10560,1858,30473,2762,13680,1720
0500000US16005,16005,"Bannock County, Idaho",45866,190,22416,190,376,262,1396,645,4731,817,958,398,6942,916,2407,715,2955,687,2651,569,23450,190,609,427,1731,627,4620,861,957,306,6080,861,2421,577,5062,908,1970,519
0500000US16019,16019,"Bonneville County, Idaho",57457,78,27866,45,234,202,1101,412,5562,987,1367,453,6749,817,3158,748,6064,964,3631,793,29591,34,398,240,1163,452,8090,1199,828,412,7744,990,3362,737,5835,1111,2171,656
0500000US16027,16027,"Canyon County, Idaho",95293,238,45818,190,938,655,2791,918,11046,1539,4404,1121,12845,1756,4042,1000,6236,1406,3516,883,49475,238,1149,669,2366,799,12350,1579,4130,1311,14770,1982,5905,1115,6608,1400,2197,862
0500000US16055,16055,"Kootenai County, Idaho",93648,190,45387,190,415,260,3638,1146,9297,1463,2291,992,14562,2392,4123,1088,7642,1419,3419,916,48261,190,818,526,2488,899,12443,1926,1664,623,14444,1567,6999,1554,6728,1533,2677,803
0500000US16083,16083,"Twin Falls County, Idaho",43536,210,20876,190,514,319,1167,579,6061,1044,1667,616,4758,888,2108,690,2558,719,2043,651,22660,210,241,179,1412,536,5141,933,770,426,7608,1206,2438,715,3443,822,1607,609
0500000US17001,17001,"Adams County, Illinois",43562,182,20774,182,403,250,1163,462,6722,997,1097,397,5513,823,1650,533,2866,797,1360,514,22788,182,485,238,1604,458,6232,774,1067,395,6019,784,2138,601,3375,609,1868,499
0500000US17019,17019,"Champaign County, Illinois",89970,182,43531,182,504,317,1446,510,8656,1331,1370,461,9184,1255,4235,1116,10061,1318,8075,1183,46439,182,341,217,1152,459,9692,1243,1634,501,9165,1319,5176,914,9432,1332,9847,1465
0500000US17031,17031,"Cook County, Illinois",1716385,811,827311,602,16077,1934,31297,3067,151182,5744,20037,2067,151032,6129,50628,3075,247233,6344,159825,6217,889074,451,24192,2365,33742,2225,178277,4710,14146,1758,150601,5039,58960,3063,250558,5971,178598,4717
0500000US17037,17037,"DeKalb County, Illinois",51199,182,25063,182,126,145,802,325,6435,1019,1407,588,6198,930,2156,535,5218,936,2721,703,26136,182,407,329,1116,494,6708,1091,601,311,5782,1047,2804,659,4972,964,3746,890
0500000US17043,17043,"DuPage County, Illinois",456238,304,218456,155,2562,665,6568,1238,33193,2554,4488,1140,43610,2754,15685,1611,66500,2973,45850,3054,237782,197,3796,885,6495,1155,45981,2587,2954,647,44400,2489,19214,1881,69042,2719,45900,2492
0500000US17089,17089,"Kane County, Illinois",219096,442,105633,129,861,407,2946,865,20655,2129,1675,546,24607,2368,9224,1586,30680,2669,14985,1798,113463,424,2725,977,3453,894,25055,2937,3557,942,23764,2852,9750,1723,27319,2761,17840,2143
0500000US17091,17091,"Kankakee County, Illinois",56319,182,27036,182,1280,741,1302,371,8107,1256,1071,437,7458,989,1604,430,3915,997,2299,627,29283,182,329,244,1619,449,8028,1071,985,384,8505,1055,3101,692,4117,839,2599,537
0500000US17093,17093,"Kendall County, Illinois",57443,273,27814,182,177,300,890,525,6648,1881,826,547,7254,1605,1294,715,7014,1967,3711,1406,29629,273,241,345,846,774,5088,1395,531,335,8397,2113,3114,1012,6882,1592,4530,1686
0500000US17097,17097,"Lake County, Illinois",312516,294,150858,166,1535,671,2652,711,26684,2819,3824,991,28551,2186,8301,1424,45612,2668,33699,2213,161658,180,1603,530,4491,1035,31077,2507,2576,684,30570,2075,12257,1683,47860,2375,31224,2209
0500000US17099,17099,"LaSalle County, Illinois",69912,182,34165,182,811,384,2194,534,11564,1109,1541,433,9247,966,3352,795,3436,699,2020,505,35747,182,758,349,2287,673,10497,1148,1717,584,8763,1047,4650,900,4825,847,2250,501
0500000US17111,17111,"McHenry County, Illinois",174986,96,85289,182,1048,511,4081,1024,20070,2013,2443,749,22556,1874,7392,1422,19395,1511,8304,1255,89697,96,526,335,3110,818,21307,2067,2099,748,23678,2304,9279,1567,19087,1773,10611,1360
0500000US17113,17113,"McLean County, Illinois",86923,234,41382,202,762,454,1428,545,9513,1177,1567,550,6499,910,2254,627,12791,1301,6568,1119,45541,119,354,278,787,292,11381,1459,1986,584,7858,1086,4050,782,13802,1405,5323,960
0500000US17115,17115,"Macon County, Illinois",60741,37,28679,37,420,231,1546,521,7856,829,2001,557,7588,979,2105,570,4772,733,2391,665,32062,182,649,335,1926,689,9442,844,1946,716,8014,1111,1969,477,5170,890,2946,715
