"GEO_ID","NAME","B20017H_001E","B20017H_001M","B20017H_002E","B20017H_002M","B20017H_003E","B20017H_003M","B20017H_004E","B20017H_004M","B20017H_005E","B20017H_005M","B20017H_006E","B20017H_006M","B20017H_007E","B20017H_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US11001","District of Columbia, District of Columbia","79698","2705","91563","2620","102299","5766","15830","5400","70220","2385","81618","2630","16049","4460"
"0500000US12001","Alachua County, Florida","31187","1379","32079","2029","53599","6661","8057","1917","28977","4964","46224","6202","11519","1458"
"0500000US12005","Bay County, Florida","31924","1306","36009","2622","46268","4524","10455","1810","30013","2672","37331","2845","12950","2742"
"0500000US12009","Brevard County, Florida","35024","2298","41177","1823","52613","4095","14143","3060","28540","2175","41105","2282","12884","2282"
"0500000US12011","Broward County, Florida","41931","731","48476","3860","60365","2325","17188","1932","37364","2380","50511","1359","14703","1868"
"0500000US12015","Charlotte County, Florida","24505","3119","25873","3429","39798","6376","13105","4276","22957","3286","37145","6015","12258","2716"
"0500000US12017","Citrus County, Florida","26657","2152","30864","2216","37027","4076","9384","2351","22004","3218","35048","4108","10912","2759"
"0500000US12019","Clay County, Florida","36873","1441","42085","2635","51109","6416","20271","11261","30441","2358","41372","2541","12358","2925"
"0500000US12021","Collier County, Florida","40495","2652","51626","1687","67750","9724","16964","3859","30560","2305","46834","7087","14656","2652"
"0500000US12023","Columbia County, Florida","33654","2358","37391","7684","50245","6336","11390","5575","29438","5306","34807","8160","10051","2444"
"0500000US12031","Duval County, Florida","37153","951","41918","1388","51433","926","12620","1418","32791","1826","44449","2848","13942","1833"
"0500000US12033","Escambia County, Florida","35120","1622","39741","3018","51499","2399","13568","3371","30668","1210","38637","1570","11098","1599"
"0500000US12035","Flagler County, Florida","30626","2368","35908","8097","49170","8078","11748","1156","24053","5590","44914","8947","11037","1155"
"0500000US12053","Hernando County, Florida","30082","2558","33405","5182","42018","4559","11429","2475","27271","2119","34474","3686","10771","1243"
"0500000US12055","Highlands County, Florida","25900","4724","30380","4637","46302","7585","7447","4961","22361","4425","33489","6969","10330","1433"
"0500000US12057","Hillsborough County, Florida","42271","944","50283","923","61209","992","14875","2206","36798","1048","49366","2120","14223","1777"
"0500000US12061","Indian River County, Florida","31228","2604","37148","8824","48072","5868","11709","3048","28693","3989","42706","7060","10547","1947"
"0500000US12069","Lake County, Florida","32434","1955","39373","4274","50364","2770","12466","1899","26323","1414","38765","3520","11710","833"
"0500000US12071","Lee County, Florida","35397","1435","40600","2144","50612","1146","15679","2340","30593","2243","42327","2607","12403","1893"
"0500000US12073","Leon County, Florida","31939","1403","38629","3134","56883","6617","8940","2246","27732","3553","41734","2028","9469","1313"
"0500000US12081","Manatee County, Florida","34549","1779","37262","4488","50743","1286","14726","2097","30794","1924","41409","2013","12429","2270"
"0500000US12083","Marion County, Florida","27444","1857","34733","3465","45185","4070","10700","1254","23685","2116","29933","2631","11953","1300"
