SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED4YR,GRADS4YR,COHORT4YR,GRADRATE4YR,SUPPRESSED5YR,GRADS5YR,COHORT5YR,GRADRATE5YR
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETW,N,213,230,92.6,N,201,219,91.8
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,HOM,,,0,,,,0,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LEN,N,228,247,92.3,N,209,227,92.1
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LEP,,,0,,,,0,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LUN,N,105,108,97.2,N,110,114,96.5
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LUP,N,123,139,88.5,N,99,113,87.6
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,MIG,,,0,,,,0,
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,SXF,N,125,131,95.4,N,98,104,94.2
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,SXM,N,103,116,88.8,N,111,123,90.2
20172018,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ACO,N,203,214,94.9,N,193,207,93.2
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ACD,N,20,24,83.3,N,22,22,100.0
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ACO,N,258,264,97.7,N,245,247,99.2
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,TST,N,278,288,96.5,N,267,269,99.3
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,SXM,N,121,124,97.6,N,149,151,98.7
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,SXF,N,157,164,95.7,N,118,118,100.0
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,MIG,,,0,,,,0,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LUP,N,94,99,94.9,N,102,103,99.0
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LUN,N,184,189,97.4,N,165,166,99.4
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LEP,,,0,,,,0,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,LEN,N,278,288,96.5,N,267,269,99.3
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,HOM,Y,,1,,Y,,2,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETW,N,257,267,96.3,N,252,254,99.2
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETP,,,0,,,,0,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETO,Y,,8,,N,10,10,100.0
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETI,Y,,1,,,,0,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETH,Y,,9,,Y,,4,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETB,Y,,2,,Y,,1,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ETA,Y,,1,,,,0,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,ELM,Y,,1,,Y,,1,
20172018,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,CSG,N,38,42,90.5,N,36,36,100.0
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ACD,N,20,24,83.3,N,22,22,100.0
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,TST,N,278,293,94.9,N,267,271,98.5
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,SXF,N,157,165,95.2,N,118,119,99.2
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,MIG,,,0,,,,0,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LUP,N,94,103,91.3,N,102,104,98.1
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LUN,N,184,190,96.8,N,165,167,98.8
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LEP,,,0,,,,0,
