"GEO_ID","NAME","B20017B_001E","B20017B_001M","B20017B_002E","B20017B_002M","B20017B_003E","B20017B_003M","B20017B_004E","B20017B_004M","B20017B_005E","B20017B_005M","B20017B_006E","B20017B_006M","B20017B_007E","B20017B_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US13255","Spalding County, Georgia","22441","4101","24402","11567","26896","13642","19747","9694","22176","2188","25595","4081","18185","5461"
"0500000US13285","Troup County, Georgia","25326","5512","27880","4999","35644","11079","4613","10352","21362","6635","30854","5736","9904","6795"
"0500000US13295","Walker County, Georgia","33812","14646","34045","16591","34682","31647","-","**","32717","31339","36077","17708","2,500-","***"
"0500000US13297","Walton County, Georgia","29802","5697","31600","2489","31930","7711","17487","28328","20258","3520","27217","11424","8138","3351"
"0500000US15001","Hawaii County, Hawaii","29443","11734","29217","9076","35646","8686","22907","9161","180769","219018","-","**","-","**"
"0500000US15003","Honolulu County, Hawaii","32767","3201","32496","3953","41758","8754","8896","14916","33568","6874","42194","12772","11312","2754"
"0500000US15007","Kauai County, Hawaii","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"0500000US16001","Ada County, Idaho","30721","3590","31984","4960","31990","4594","9643","99836","11180","701","-","**","11081","3266"
"0500000US16005","Bannock County, Idaho","21549","30310","37924","35662","38609","21864","-","**","-","**","-","**","-","**"
"0500000US16019","Bonneville County, Idaho","36833","33802","-","**","-","**","-","**","-","**","-","**","-","**"
"0500000US16027","Canyon County, Idaho","2,500-","***","2,500-","***","-","**","2,500-","***","-","**","-","**","-","**"
"0500000US16083","Twin Falls County, Idaho","7419","55734","-","**","-","**","-","**","-","**","-","**","-","**"
"0500000US17001","Adams County, Illinois","23180","3536","30360","13629","31080","14724","20305","21566","12278","13760","22532","7781","-","**"
"0500000US17019","Champaign County, Illinois","22174","6800","25007","19118","38447","2809","4715","11346","21525","5057","30893","12239","10571","4725"
"0500000US17031","Cook County, Illinois","30508","774","32299","2033","46331","1747","11897","830","28229","1519","40593","769","12059","745"
"0500000US17037","DeKalb County, Illinois","18936","8360","14173","10129","50192","54989","13283","12423","26780","13585","39507","13482","6514","5495"
"0500000US17043","DuPage County, Illinois","37387","6283","36872","5142","54434","14094","11958","4613","39332","9794","50574","10854","11114","8574"
"0500000US17089","Kane County, Illinois","30133","7705","31050","2471","46080","20231","12848","11104","25074","10412","34259","43401","10056","4896"
"0500000US17091","Kankakee County, Illinois","25467","4718","36848","14215","60400","30231","9787","16218","18893","7930","40420","17161","12045","1591"
"0500000US17093","Kendall County, Illinois","22972","11248","20119","10755","27728","29427","10302","10261","30666","6882","32216","10138","3993","14554"
"0500000US17097","Lake County, Illinois","30926","5840","32429","5107","43720","9417","8249","2074","27811","8417","46823","7205","11109","1020"
"0500000US17099","LaSalle County, Illinois","43010","12359","44038","15838","50387","10418","18354","26370","36285","16752","45490","13206","-","**"
"0500000US17113","McLean County, Illinois","24221","4765","32207","11340","52559","14862","4464","1602","22196","2798","26338","8703","10731","3623"
"0500000US17115","Macon County, Illinois","21489","2923","25779","7426","40452","28990","12031","17118","17878","8921","23652","4085","11201","2324"
"0500000US17119","Madison County, Illinois","21321","3020","22739","4436","40541","12783","9851","9537","20107","3622","28997","2868","9438","3604"
"0500000US17143","Peoria County, Illinois","27224","3813","31462","13503","46548","11999","8867","5738","26188","4077","32084","3743","10816","901"
"0500000US17161","Rock Island County, Illinois","30900","5511","31864","9266","42007","13585","7928","12048","26125","11954","40833","10895","5925","2911"
"0500000US17163","St. Clair County, Illinois","27621","3255","27368","5273","36827","5665","7344","6926","27901","3761","36208","3696","10580","3740"
"0500000US17167","Sangamon County, Illinois","21017","2327","20183","4574","46678","23318","7450","10024","21941","3992","25046","2894","11607","9771"
"0500000US17179","Tazewell County, Illinois","21179","27078","32292","43190","60354","33709","2,500-","***","11178","1610","-","**","-","**"
"0500000US17183","Vermilion County, Illinois","20354","6390","20239","13325","36313","35071","7991","3593","20529","5926","23956","383","12209","9045"
"0500000US17197","Will County, Illinois","28830","3338","29956","6120","49026","5692","9603","2035","27358","4153","42426","7205","9088","4112"
"0500000US17199","Williamson County, Illinois","17214","32580","32348","101056","90452","75856","2,500-","***","16731","15552","-","**","15936","7109"
"0500000US17201","Winnebago County, Illinois","27661","4278","27771","5692","32142","8561","10198","5451","27404","7018","42071","7347","6661","2193"
"0500000US18003","Allen County, Indiana","22128","2206","25349","3954","36639","8031","8769","6455","20744","1784","28457","5369","10423","2256"
"0500000US18011","Boone County, Indiana","42394","11063","45946","17161","50250","12286","10595","126336","32245","17165","31921","19419","43308","64325"
"0500000US18019","Clark County, Indiana","31451","3937","39228","11726","42203","5457","32618","44305","21831","10762","29821","13087","11438","8073"
"0500000US18035","Delaware County, Indiana","20700","4733","21378","22467","31647","31116","3880","3284","20519","6149","29841","13491","8750","13529"
"0500000US18039","Elkhart County, Indiana","18473","5425","16899","9493","26795","10572","11722","6855","19396","8469","35737","2275","8641","8951"
"0500000US18043","Floyd County, Indiana","34160","16963","38374","9606","45633","9820","10339","13514","17009","4406","32969","29071","3206","9308"
"0500000US18053","Grant County, Indiana","20208","8834","36186","17758","37278","22615","13107","16068","16771","3521","35799","26202","11135","6882"
"0500000US18057","Hamilton County, Indiana","41777","11831","57064","27041","65383","25370","8895","338","36990","7026","40935","7252","10752","16912"
"0500000US18059","Hancock County, Indiana","40105","16227","-","**","-","**","-","**","31271","14104","-","**","-","**"
"0500000US18063","Hendricks County, Indiana","36995","6247","30132","26770","49161","19000","11420","5239","37295","7374","37433","9848","19602","48025"
"0500000US18067","Howard County, Indiana","45931","34357","23835","32152","82176","52809","15650","11112","50421","26558","51012","11741","15339","34009"
"0500000US18081","Johnson County, Indiana","28877","41326","53129","53643","-","**","-","**","27644","20788","27990","23682","-","**"
"0500000US18085","Kosciusko County, Indiana","35955","21042","-","**","-","**","-","**","-","**","-","**","-","**"
"0500000US18089","Lake County, Indiana","28385","3354","29712","4056","42558","5805","11539","2492","27307","3678","37216","3751","11682","1845"
"0500000US18091","LaPorte County, Indiana","21537","8195","22414","17031","42741","22666","9083","11634","12214","19772","26867","18377","5966","7056"
"0500000US18095","Madison County, Indiana","20754","1299","21026","1114","22015","1659","18373","11351","14857","14261","31266","19760","12765","9642"
"0500000US18097","Marion County, Indiana","26852","1437","26804","3258","37462","3600","10620","1782","26898","2202","35368","1772","11666","1727"
"0500000US18105","Monroe County, Indiana","11699","2096","14693","9906","34155","17384","13153","2905","6717","3834","-","**","6285","3512"
"0500000US18109","Morgan County, Indiana","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"0500000US18127","Porter County, Indiana","23683","7005","22491","8314","24897","45558","2,500-","***","23987","12004","31428","14927","12117","14345"
"0500000US18141","St. Joseph County, Indiana","22334","4562","20946","5668","36333","9955","11497","3082","24186","5585","35010","9147","5655","3033"
"0500000US18157","Tippecanoe County, Indiana","17171","7332","22178","14261","37310","13667","10414","7301","13628","7201","35429","18241","8310","4091"
"0500000US18163","Vanderburgh County, Indiana","24363","2156","25422","9391","40235","10837","10639","6510","22445","5971","36318","9065","7609","5623"
"0500000US18167","Vigo County, Indiana","19211","4271","22275","5925","25308","5127","6250","14815","12419","9120","30018","7563","5686","2270"
"0500000US19013","Black Hawk County, Iowa","20786","5001","20452","4766","29336","14112","3841","2142","22465","9510","32386","5541","12939","4058"
