SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED,GRADS,ACADEMIC,ACADEMICALT,CAREER,CAREERALT,NONDUP,EL,BONUS,TRANSITIONRATE,TRANRATEWBONUS
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LUN,N,179,95,0,36,0,116,0,4,64.8,65.4
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LEP,Y,0,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LEN,N,270,131,0,53,0,160,1,7,59.3,59.9
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,HOM,Y,1,,,,,,,,,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,TST,N,270,131,0,53,0,160,1,7,59.3,59.9
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETW,N,250,123,0,53,0,151,0,7,60.4,61.1
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,FOS,Y,1,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ACD,Y,8,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ACO,Y,144,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,TST,N,152,81,0,45,0,97,0,1,63.8,64
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,SXM,N,80,42,0,24,0,49,0,1,61.3,61.6
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,SXF,N,72,39,0,21,0,48,0,0,66.7,66.7
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,MIL,Y,0,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,MIG,Y,0,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,LUP,N,84,38,0,24,0,47,0,1,56,56.3
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,LUN,N,68,43,0,21,0,50,0,0,73.5,73.5
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,LEP,Y,2,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,LEN,Y,150,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,HOM,Y,5,,,,,,,,,
