State code (STATEFIP),State name,PUMA of Migration (MIGPUMA or MIGPUMA1),PUMA (PUMA)
39,Ohio,4600,04601-04602
39,Ohio,4700,4700
39,Ohio,4800,4800
40,Oklahoma,100,100
40,Oklahoma,200,200
40,Oklahoma,300,300
40,Oklahoma,400,400
40,Oklahoma,500,500
40,Oklahoma,690,"00600, 01000-01200"
40,Oklahoma,700,700
40,Oklahoma,800,800
40,Oklahoma,900,900
40,Oklahoma,1390,01301-01700
41,Oregon,100,100
41,Oregon,200,200
41,Oregon,300,300
41,Oregon,400,400
41,Oregon,500,500
41,Oregon,600,600
41,Oregon,700,00701-00702
41,Oregon,800,800
41,Oregon,900,900
41,Oregon,1000,1000
41,Oregon,1100,01101-01102
41,Oregon,1200,1200
41,Oregon,1300,01301-01313
42,Pennsylvania,190,00100-00200
42,Pennsylvania,300,300
42,Pennsylvania,400,400
42,Pennsylvania,500,500
42,Pennsylvania,600,600
42,Pennsylvania,700,700
42,Pennsylvania,800,00801-00802
42,Pennsylvania,900,00901-00903
42,Pennsylvania,1000,1000
42,Pennsylvania,1100,1100
42,Pennsylvania,1200,1200
42,Pennsylvania,1300,1300
42,Pennsylvania,1400,1400
42,Pennsylvania,1500,1500
42,Pennsylvania,1600,1600
42,Pennsylvania,1790,01701-01807
42,Pennsylvania,1900,1900
42,Pennsylvania,2000,02001-02002
42,Pennsylvania,2100,02101-02103
42,Pennsylvania,2200,02201-02202
42,Pennsylvania,2300,2300
42,Pennsylvania,2400,2400
42,Pennsylvania,2500,02501-02502
42,Pennsylvania,2600,2600
42,Pennsylvania,2700,2700
42,Pennsylvania,2800,02801-02802
42,Pennsylvania,2900,2900
42,Pennsylvania,3000,03001-03002
42,Pennsylvania,3100,03101-03102
42,Pennsylvania,3200,03201-03203
42,Pennsylvania,3300,03301-03303
42,Pennsylvania,3400,03401-03402
42,Pennsylvania,3500,3500
42,Pennsylvania,3690,03600-03702
42,Pennsylvania,3800,03801-03802
42,Pennsylvania,3900,03901-03904
42,Pennsylvania,4000,04001-04006
42,Pennsylvania,4100,04101-04111
42,Pennsylvania,4200,04201-04204
42,Pennsylvania,4300,04301-04303
44,Rhode Island,100,100
44,Rhode Island,200,200
44,Rhode Island,300,300
44,Rhode Island,400,400
44,Rhode Island,500,500
44,Rhode Island,600,600
44,Rhode Island,700,700
45,South Carolina,100,100
45,South Carolina,200,00201-00202
45,South Carolina,300,00301-00302
45,South Carolina,400,400
45,South Carolina,500,500
45,South Carolina,600,600
45,South Carolina,700,700
45,South Carolina,800,800
45,South Carolina,900,900
45,South Carolina,1090,01001-01200
45,South Carolina,1300,1300
45,South Carolina,1400,1400
45,South Carolina,1500,1500
45,South Carolina,1600,1600
45,South Carolina,1700,1700
45,South Carolina,1800,1800
45,South Carolina,1900,1900
45,South Carolina,2000,2000
45,South Carolina,2100,02101-02102
45,South Carolina,2200,2200
45,South Carolina,2300,2300
46,South Dakota,100,100
46,South Dakota,200,200
46,South Dakota,300,300
46,South Dakota,400,400
46,South Dakota,500,500
46,South Dakota,690,00600-00700
47,Tennessee,100,100
47,Tennessee,200,200
47,Tennessee,300,300
47,Tennessee,400,400
47,Tennessee,500,00501-00502
47,Tennessee,600,600
47,Tennessee,700,700
47,Tennessee,800,00801-00802
47,Tennessee,900,900
47,Tennessee,1000,1000
47,Tennessee,1100,1100
47,Tennessee,1200,1200
47,Tennessee,1390,01301-01400
47,Tennessee,1500,1500
47,Tennessee,1600,1600
47,Tennessee,1700,1700
47,Tennessee,1890,01800-02000
47,Tennessee,2100,2100
47,Tennessee,2200,02201-02205
47,Tennessee,2300,2300
47,Tennessee,2400,2400
47,Tennessee,2500,2500
47,Tennessee,2600,2600
47,Tennessee,2700,2700
47,Tennessee,2800,2800
47,Tennessee,2900,2900
47,Tennessee,3000,3000
47,Tennessee,3190,03101-03202
48,Texas,100,100
48,Texas,200,200
